instance,type,region,pricing,batch size,boot time in seconds,training time in seconds,total time in seconds,first iteration in seconds
g4dn.xlarge,IaaS,us-east-1,0.526,1,474,469,943,125.117
g4dn.xlarge,IaaS,us-east-1,0.526,1,474,448,922,125.065
g4dn.xlarge,IaaS,us-east-1,0.526,1,474,444,918,125.086
p3.2xlarge,IaaS,us-east-1,3.06,1,449,283,732,173.926
p3.2xlarge,IaaS,us-east-1,3.06,1,449,249,698,136.521
p3.2xlarge,IaaS,us-east-1,3.06,1,449,246,695,136.409
p2.xlarge,IaaS,us-east-1,0.9,1,608,1117,1725,181.529
p2.xlarge,IaaS,us-east-1,0.9,1,398,1154,1552,148.514
p2.xlarge,IaaS,us-east-1,0.9,1,436,1117,1553,188.090
ml.g4dn.xlarge,SageMaker,us-east-1,0.736,2,248,265,513,9.497
ml.g4dn.xlarge,SageMaker,us-east-1,0.736,2,250,269,519,8.680
ml.g4dn.xlarge,SageMaker,us-east-1,0.736,2,248,267,515,8.850
ml.g4dn.xlarge,SageMaker,us-east-1,0.736,1,242,322,564,7.358
ml.g4dn.xlarge,SageMaker,us-east-1,0.736,1,226,327,553,6.639
ml.g4dn.xlarge,SageMaker,us-east-1,0.736,1,234,330,564,7.326
ml.p3.2xlarge,SageMaker,us-east-1,3.825,2,228,110,338,6.290
ml.p3.2xlarge,SageMaker,us-east-1,3.825,2,238,115,353,10.952
ml.p3.2xlarge,SageMaker,us-east-1,3.825,2,285,111,396,7.507
ml.p3.2xlarge,SageMaker,us-east-1,3.825,1,224,119,343,8.573
ml.p3.2xlarge,SageMaker,us-east-1,3.825,1,236,117,353,5.995
ml.p3.2xlarge,SageMaker,us-east-1,3.825,1,218,116,334,6.534
g3s.xlarge,IaaS,us-east-1,0.93,1,464.228,628.962,1093.228,189.970
g3s.xlarge,IaaS,us-east-1,0.93,1,365.71,578.595,944.71,138.381
g3s.xlarge,IaaS,us-east-1,0.93,1,369.039,574.485,943.039,136.930
g5.xlarge,IaaS,us-east-1,1.006,1,351.932,206.713,558.932,130.217
g5.xlarge,IaaS,us-east-1,1.006,1,351.507,208.851,560.507,131.642
g5.xlarge,IaaS,us-east-1,1.006,1,351.505,209.131,560.505,131.645
g4dn.12xlarge,IaaS,us-east-1,3.912,1,312,153,465,72.269
g4dn.12xlarge,IaaS,us-east-1,3.912,1,274,140,414,55.309
g4dn.12xlarge,IaaS,us-east-1,3.912,1,274,136,410,55.584
g3.8xlarge,IaaS,us-east-1,2.28,1,287,297,584,72.717
g3.8xlarge,IaaS,us-east-1,2.28,1,292,298,590,74.109
g3.8xlarge,IaaS,us-east-1,2.28,1,291,298,589,74.296
g3.16xlarge,IaaS,us-east-1,4.56,1,321,161,482,49.490
g3.16xlarge,IaaS,us-east-1,4.56,1,319,163,482,50.287
g3.16xlarge,IaaS,us-east-1,4.56,1,320,164,484,50.412
